inputFile,date,iMRMCversion,NR,N0,N1,modalityA,modalityB,UstatOrMLE,AUCA,varAUCA,AUCB,varAUCB,AUCAminusAUCB,varAUCAminusAUCB,pValueNormal,botCInormal,topCInormal,rejectNormal,dfBDG,pValueBDG,botCIBDG,topCIBDG,rejectBDG,dfHillis,pValueHillis,botCIHillis,topCIHillis,rejectHillis
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,3,150,150,modalityA,NO_MOD,MLE,9.03333333E-1,1.36051852E-3,NA,NA,NA,NA,0.00000000E0,8.31039655E-1,9.75627011E-1,1.00000000E0,2.00000000E0,8.25979693E-3,7.44629095E-1,1.06203757E0,1.00000000E0,2.11220765E0,8.25979693E-3,7.44629095E-1,1.06203757E0,1.00000000E0
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,3,150,150,modalityB,NO_MOD,MLE,5.53333333E-1,1.78370370E-4,NA,NA,NA,NA,6.51463095E-5,5.27156962E-1,5.79509705E-1,1.00000000E0,2.81882613E1,4.27765217E-4,5.25975756E-1,5.80690911E-1,1.00000000E0,3.36310076E1,3.42867070E-4,5.26161289E-1,5.80505378E-1,1.00000000E0
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,3,150,150,modalityA,modalityB,MLE,9.03333333E-1,1.36051852E-3,5.53333333E-1,1.78370370E-4,3.50000000E-1,1.11212346E-3,0.00000000E0,2.84638112E-1,4.15361888E-1,1.00000000E0,2.00000000E0,8.95676989E-3,2.06512921E-1,4.93487079E-1,1.00000000E0,2.39952379E0,8.95676989E-3,2.06512921E-1,4.93487079E-1,1.00000000E0
