inputFile,date,iMRMCversion,NR,N0,N1,modalityA,modalityB,UstatOrMLE,AUCA,varAUCA,AUCB,varAUCB,AUCAminusAUCB,varAUCAminusAUCB,pValueNormal,botCInormal,topCInormal,rejectNormal,dfBDG,pValueBDG,botCIBDG,topCIBDG,rejectBDG,dfHillis,pValueHillis,botCIHillis,topCIHillis,rejectHillis
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,3,150,150,modalityA,NO_MOD,Ustat,9.03333333E-1,1.86122297E-3,NA,NA,NA,NA,0.00000000E0,8.18776776E-1,9.87889891E-1,1.00000000E0,2.11212165E0,1.12484833E-2,7.17708748E-1,1.08895792E0,1.00000000E0,2.11220765E0,1.12484833E-2,7.17708748E-1,1.08895792E0,1.00000000E0
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,3,150,150,modalityB,NO_MOD,Ustat,5.53333333E-1,1.82252051E-4,NA,NA,NA,NA,7.79571274E-5,5.26873671E-1,5.79792996E-1,1.00000000E0,2.94284717E1,4.57427546E-4,5.25722578E-1,5.80944089E-1,1.00000000E0,3.36310076E1,3.87026959E-4,5.25867222E-1,5.80799444E-1,1.00000000E0
fakepilot2.imrmc,201901300952,iMRMC Version 4.0.0,3,150,150,modalityA,modalityB,Ustat,9.03333333E-1,1.86122297E-3,5.53333333E-1,1.82252051E-4,3.50000000E-1,1.42393736E-3,0.00000000E0,2.76040574E-1,4.23959426E-1,1.00000000E0,2.39887433E0,1.14251514E-2,1.87638992E-1,5.12361008E-1,1.00000000E0,2.39952379E0,1.14251514E-2,1.87638992E-1,5.12361008E-1,1.00000000E0
